Strelac,Reprezentacija,Broj golova,Rang,Godina,Turnir,Drzava
Salvatore Schillaci,Italy,6,1,1990,FIFA World Cup,Italy
Tomáš Skuhravý,Czechoslovakia,5,2,1990,FIFA World Cup,Italy
Hristo Stoichkov,Bulgaria,6,1,1994,FIFA World Cup,United States
Oleg Salenko,Russia,6,2,1994,FIFA World Cup,United States
Davor Šuker,Croatia,6,1,1998,FIFA World Cup,France
Christian Vieri,Italy,5,2,1998,FIFA World Cup,France
Ronaldo,Brazil,8,1,2002,FIFA World Cup,Japan
Miroslav Klose,Germany,5,2,2002,FIFA World Cup,Japan
Miroslav Klose,Germany,5,1,2006,FIFA World Cup,Germany
David Villa,Spain,3,2,2006,FIFA World Cup,Germany
David Villa,Spain,5,1,2010,FIFA World Cup,South Africa
Diego Forlán,Uruguay,5,2,2010,FIFA World Cup,South Africa
James Rodríguez,Colombia,6,1,2014,FIFA World Cup,Brazil
Thomas Müller,Germany,5,2,2014,FIFA World Cup,Brazil
Harry Kane,England,6,1,2018,FIFA World Cup,Russia
Antoine Griezmann,France,4,2,2018,FIFA World Cup,Russia
Kylian Mbappé,France,8,1,2022,FIFA World Cup,Qatar
Lionel Messi,Argentina,7,2,2022,FIFA World Cup,Qatar
